keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FANTASY_MOD_NAME,Sylvan Fantasy,Fantaisie sylvestre,幻界树海,シルヴァン・ファンタジー,실반 판타지,幻界樹海,Лесная фантазия,Leśna fantazja,Fantasía silvana,Fantasia silvestre,Waldfantasie,Orman Fantazisi,Fantasia silvestre
ZONE_FANTASY,Fantasy,Fantaisie,幻界,ファンタジー,판타지,幻界,Фэнтези,Fantazja,Fantasía,Fantasia,Fantasie,Fantazi,Fantasia
BG_FORESTLAND,Forestland,Contrée boisée,树海,森林地,삼림지,樹海,Лесные угодья,Leśna Kraina,Tierra forestal,Terra florestal,Waldland,Ormanlık,Terra boscosa
BG_FORESTLAND_NIGHT,Forestland-Night,Contrée boisée (nuit),树海-夜,森林地・夜,삼림지(밤),樹海-夜,Лесные угодья (ночь),Leśna Kraina (noc),Tierra forestal (noche),Terra florestal (noite),Waldland (Nacht),Ormanlık (gece),Terra boscosa (notte)
FANTASY_LOOTING_GOBLIN_NAME,Looting Goblin,Gobelin pilleur,搜刮哥布林,略奪ゴブリン,약탈 고블린,搜刮哥布林,Гоблин-грабитель,Goblin łupieżca,Duende saqueador,Goblin saqueador,Plündernder Goblin,Yağmacı goblin,Goblin saccheggiatore
FANTASY_LOOTING_GOBLIN_BEHAVIOUR_DESCRIPTION,"Runs around, drops a crate on death","Court dans tous les sens, lâche une caisse à la mort","四处奔跑,死亡时掉落一个箱子","走り回り,死亡時に木箱を落とす",뛰어다니다 죽으면 상자를 떨어뜨림,"四處奔跑,死亡時掉落一個箱子","Бегает повсюду, при смерти роняет ящик","Biega wszędzie, po śmierci upuszcza skrzynię","Corretea por ahí, al morir suelta una caja","Corre por aí, solta uma caixa ao morrer","Läuft herum, lässt beim Tod eine Kiste fallen","Ortalıkta koşar, öldüğünde sandık düşürür","Corre in giro, alla morte rilascia una cassa"
EVIL_MOB_FANTASY_NAME,Gobbler,Gobbeur,吞吞怪,ガブラー,걸신들린 괴물,吞吞怪,Пожиратель,Pożeracz,Devorador,Devorador,Schlinger,Yutucu,Divoratore
EVIL_MOB_FANTASY_BEHAVIOUR_DESCRIPTION,"Target materials to eat them, dealing damage on touch. Eating makes it grow.
Has 3% chance to spawn 10 seconds into a wave.

Mutation 0:
Fast but fragile. Killing it makes it drop all the materials it ate.

Mutation 1:
Loses speed but gains max HP. Killing it makes it drop twice the amount of materials it ate.

Mutation 2:
Loses more speed but gains even more max HP. Killing it makes it drop three times the amount of materials it ate.","Cible les matériaux pour les manger, infligeant des dégâts au contact. Manger le fait grandir.
A 3% de chances d'apparaître 10 secondes après le début d'une vague.

Mutation 0 :
Rapide mais fragile. Le tuer lui fait lâcher tous les matériaux qu'il a mangés.

Mutation 1 :
Perd de la vitesse mais gagne des PV max. Le tuer lui fait lâcher le double des matériaux mangés.

Mutation 2 :
Perd encore plus de vitesse mais gagne encore plus de PV max. Le tuer lui fait lâcher le triple des matériaux mangés.","瞄准并吞噬材料,接触时造成伤害.吞噬材料时会变大.
在每一波敌袭开始的10秒时有3%几率生成.

异变0:
迅速但脆弱.击杀时会掉落吞噬的所有材料.

异变1:
失去速度但获得最大生命.击杀时会掉落2倍吞噬的所有材料.

异变2:
失去更多速度但获得更多最大生命.击杀时会掉落3倍吞噬的所有材料.","材料を狙って食べ,接触でダメージ.食べると成長する.
波開始10秒後に3%の確率で出現.

変異0:
素早いが脆い.倒すと食べた材料をすべて落とす.

変異1:
速度が下がるが最大HPが増加.倒すと食べた材料の2倍を落とす.

変異2:
さらに速度が下がるが最大HPがさらに増加.倒すと食べた材料の3倍を落とす.","재료를 조준하여 먹고, 접촉 시 피해를 줍니다. 먹으면 성장합니다.
웨이브 시작 10초 후 3% 확률로 생성됩니다.

변이 0:
빠르지만 체력이 낮습니다. 처치하면 먹었던 재료를 모두 떨어뜨립니다.

변이 1:
속도가 감소하지만 최대 체력이 증가합니다. 처치하면 먹었던 재료의 2배를 떨어뜨립니다.

변이 2:
속도가 더 감소하지만 최대 체력이 더 증가합니다. 처치하면 먹었던 재료의 3배를 떨어뜨립니다.","瞄準並吞噬材料,接觸時造成傷害.吞噬材料時會變大.
在每一波敵襲開始的10秒時有3%機率生成.

異變0:
迅速但脆弱.擊殺時會掉落吞噬的所有材料.

異變1:
失去速度但獲得最大生命.擊殺時會掉落2倍吞噬的所有材料.

異變2:
失去更多速度但獲得更多最大生命.擊殺時會掉落3倍吞噬的所有材料.","Нацеливается на материалы, чтобы съесть их, нанося урон при касании. Поедание заставляет его расти.
Имеет 3% шанс появиться через 10 секунд после начала волны.

Мутация 0:
Быстрый, но хрупкий. При убийстве роняет все съеденные материалы.

Мутация 1:
Теряет скорость, но получает макс. ОЗ. При убийстве роняет удвоенное количество съеденных материалов.

Мутация 2:
Теряет ещё больше скорости, но получает ещё больше макс. ОЗ. При убийстве роняет утроенное количество съеденных материалов.","Celuje w materiały, by je zjeść, zadając obrażenia przy dotknięciu. Jedzenie powoduje wzrost.
Ma 3% szans na pojawienie się 10 sekund po rozpoczęciu fali.

Mutacja 0:
Szybki, ale kruchy. Zabicie go powoduje upuszczenie wszystkich zjedzonych materiałów.

Mutacja 1:
Traci prędkość, ale zyskuje maks. PŻ. Zabicie go powoduje upuszczenie podwójnej ilości zjedzonych materiałów.

Mutacja 2:
Traci więcej prędkości, ale zyskuje jeszcze więcej maks. PŻ. Zabicie go powoduje upuszczenie potrójnej ilości zjedzonych materiałów.","Apunta a los materiales para comerlos, infligiendo daño al contacto. Comer lo hace crecer.
Tiene un 3% de probabilidad de aparecer 10 segundos después de iniciar una oleada.

Mutación 0:
Rápido pero frágil. Matarlo hace que suelte todos los materiales que comió.

Mutación 1:
Pierde velocidad pero gana Vida Máx. Matarlo hace que suelte el doble de materiales comidos.

Mutación 2:
Pierde más velocidad pero gana aún más Vida Máx. Matarlo hace que suelte el triple de materiales comidos.","Mira os materiais para comê-los, causando dano ao toque. Comer o faz crescer.
Tem 3% de chance de surgir 10 segundos após o início de uma onda.

Mutação 0:
Rápido, mas frágil. Matá-lo faz com que solte todos os materiais que comeu.

Mutação 1:
Perde velocidade, mas ganha Vida Máx. Matá-lo faz com que solte o dobro dos materiais comidos.

Mutação 2:
Perde mais velocidade, mas ganha ainda mais Vida Máx. Matá-lo faz com que solte o triplo dos materiais comidos.","Zielt auf Materialien, um sie zu fressen, verursacht Schaden bei Berührung. Fressen lässt es wachsen.
Hat eine 3%ige Chance, 10 Sekunden nach Wellenbeginn zu erscheinen.

Mutation 0:
Schnell, aber zerbrechlich. Beim Tod lässt es alle gefressenen Materialien fallen.

Mutation 1:
Verliert Tempo, erhält aber max. LP. Beim Tod lässt es die doppelte Menge der gefressenen Materialien fallen.

Mutation 2:
Verliert mehr Tempo, erhält aber noch mehr max. LP. Beim Tod lässt es die dreifache Menge der gefressenen Materialien fallen.","Malzemeleri yemek için hedefler, temasla hasar verir. Yemek onu büyütür.
Dalga başladıktan 10 saniye sonra %3 ihtimalle ortaya çıkar.

Mutasyon 0:
Hızlı ama kırılgan. Öldürmek yediği tüm malzemeleri düşürmesini sağlar.

Mutasyon 1:
Hız kaybeder ama maks. can kazanır. Öldürmek yediği malzemelerin iki katını düşürmesini sağlar.

Mutasyon 2:
Daha fazla hız kaybeder ama daha da fazla maks. can kazanır. Öldürmek yediği malzemelerin üç katını düşürmesini sağlar.","Prende di mira i materiali per mangiarli, infliggendo danni al contatto. Mangiare lo fa crescere.
Ha il 3% di probabilità di apparire 10 secondi dopo l'inizio di un'ondata.

Mutazione 0:
Veloce ma fragile. Ucciderlo gli fa rilasciare tutti i materiali mangiati.

Mutazione 1:
Perde velocità ma guadagna PV massimi. Ucciderlo gli fa rilasciare il doppio dei materiali mangiati.

Mutazione 2:
Perde ancora più velocità ma guadagna ancora più PV massimi. Ucciderlo gli fa rilasciare il triplo dei materiali mangiati."
FANTASY_LITTLE_SLIME_NAME,Small Slime,Petit slime,小史莱姆,スモールスライム,작은 슬라임,小史萊姆,Малый слизень,Mały szlam,Slime pequeño,Slime pequeno,Kleiner Schleim,Küçük slime,Slime piccolo
FANTASY_LITTLE_SLIME_BEHAVIOUR_DESCRIPTION,Slowly pursues the player,Poursuit lentement le joueur,缓慢追击玩家,ゆっくりプレイヤーを追跡する,플레이어를 천천히 추적합니다,緩慢追擊玩家,Медленно преследует игрока,Powoli ściga gracza,Persigue lentamente al jugador,Persegue lentamente o jogador,Verfolgt den Spieler langsam,Oyuncuyu yavaşça takip eder,Insegue lentamente il giocatore
